X_Sb70V	Y_Sb70V	ErrorX_Sb70V	ErrorY_Sb70V	X_Sb70Vmodel	Y_Sb70VCompton	Y_Sb70VEC	Y_Sb70VBkgmodel	X_Y70V	Y_Y70V	ErrorX_Y70V	ErrorY_Y70V	X_Y70VModel	Y_Y70VCompton	Y_Y70VEC	Y_Y70VBkgmodel	X_Y25V	Y_Y25V	ErrorX_Y25V	ErrorY_Y25V	X_Y25VModel	Y_Y25VCompton	Y_Y25VEC	Y_Y25VBkgmodel
23.6586	225.685	0.152868	27.1693	5.22753	266.147	0.000530818	245.843	193.866	476.436	1.37479	13.1634	6.85808	406.638	1.21681E-19	376.627	108.209	995.205	0.762657	25.5433	4.79413	759.048	0	741.167
23.9644	264.935	0.152868	29.4372	5.26615	266.147	0.000310069	245.016	196.616	503.349	1.37479	13.5301	6.8974	406.638	3.63918E-20	376.608	109.735	1011.59	0.762657	25.7528	4.82068	759.048	0	741.701
24.2701	248.581	0.152868	28.5142	5.30477	266.147	0.000178365	244.259	199.365	461.161	1.37479	12.9507	6.93672	406.638	1.07122E-20	376.592	111.26	988.649	0.762657	25.459	4.84722	759.048	0	742.238
24.5758	297.643	0.152868	31.2014	5.34338	266.147	0.000101042	243.573	202.115	490.62	1.37479	13.3579	6.97605	406.638	3.10344E-21	376.581	112.785	1064.04	0.762657	26.4119	4.87376	759.048	0	742.776
24.8816	264.935	0.152868	29.4372	5.382	266.147	0.0000563675	242.959	204.864	491.347	1.37479	13.3678	7.01537	406.638	8.84918E-22	376.572	114.311	957.835	0.762657	25.0591	4.90031	759.048	0	743.317
25.1873	261.664	0.152868	29.2549	5.42062	266.147	0.0000309667	242.418	207.614	470.253	1.37479	13.0777	7.05469	406.638	2.48345E-22	376.568	115.836	1001.76	0.762657	25.6273	4.92685	759.048	0	743.86
25.493	281.289	0.152868	30.3321	5.45924	266.147	0.0000167532	241.95	210.364	489.892	1.37479	13.348	7.09401	406.638	6.85962E-23	376.567	117.361	1028.64	0.762657	25.9688	4.95339	759.048	0	744.404
25.7988	278.018	0.152868	30.1553	5.49786	266.147	0.00000892568	241.554	213.113	494.62	1.37479	13.4123	7.13334	406.638	1.86483E-23	376.571	118.887	1020.12	0.762657	25.861	4.97993	759.048	0	744.949
26.1045	307.455	0.152868	31.7116	5.53648	266.147	0.00000468298	241.229	215.863	495.348	1.37479	13.4221	7.17266	406.638	4.98964E-24	376.579	120.412	977.503	0.762657	25.3151	5.00648	759.048	0	745.496
26.4103	294.372	0.152868	31.0295	5.57509	266.147	0.00000241958	240.973	218.612	494.984	1.37479	13.4172	7.21198	406.638	1.31399E-24	376.59	121.937	972.259	0.762657	25.2471	5.03302	759.048	0	746.045
26.716	235.497	0.152868	27.7536	5.61371	266.147	0.00000123111	240.785	221.362	505.167	1.37479	13.5545	7.25131	406.638	3.40572E-25	376.605	123.462	993.894	0.762657	25.5264	5.05956	759.048	0	746.595
27.0217	258.393	0.152868	29.0715	5.65233	266.147	0.000000616869	240.661	224.111	522.261	1.37479	13.7819	7.29063	406.638	8.68796E-26	376.623	124.988	998.483	0.762657	25.5853	5.08611	759.048	0	747.148
27.3275	284.559	0.152868	30.508	5.69095	266.147	0.000000304387	240.597	226.861	458.615	1.37479	12.9149	7.32995	406.638	2.18132E-26	376.644	126.513	1027.98	0.762657	25.9605	5.11265	759.048	0	747.702
27.6332	264.935	0.152868	29.4372	5.72957	266.147	0.00000014791	240.592	229.611	507.713	1.37479	13.5886	7.36928	406.638	5.39032E-27	376.67	128.038	1015.53	0.762657	25.8028	5.13919	759.048	0	748.258
27.9389	313.997	0.152868	32.0471	5.76819	266.147	0.0000000707794	240.641	232.36	483.346	1.37479	13.2585	7.4086	406.638	1.311E-27	376.699	129.564	949.968	0.762657	24.956	5.16574	759.048	0	748.815
28.2447	320.538	0.152868	32.3792	5.8068	266.147	0.0000000333545	240.739	235.11	496.075	1.37479	13.432	7.44792	406.638	3.13821E-28	376.733	131.089	978.815	0.762657	25.3321	5.19228	759.048	0	749.374
28.5504	313.997	0.152868	32.0471	5.84542	266.147	0.0000000154789	240.884	237.859	508.804	1.37479	13.6032	7.48724	406.638	7.39359E-29	376.77	132.614	956.524	0.762657	25.042	5.21882	759.048	0	749.934
28.8561	291.101	0.152868	30.8566	5.88404	266.147	0.00000000707399	241.071	240.609	498.621	1.37479	13.4664	7.52657	406.638	1.71444E-29	376.811	134.14	1016.84	0.762657	25.8194	5.24537	759.048	0	750.495
29.1619	297.643	0.152868	31.2014	5.92266	266.147	0.00000000318366	241.295	243.359	498.985	1.37479	13.4713	7.56589	406.638	3.91273E-30	376.856	135.665	965.047	0.762657	25.1533	5.27191	759.048	0	751.058
29.4676	287.83	0.152868	30.6828	5.96128	266.147	0.000000001411	241.553	246.108	465.889	1.37479	13.0169	7.60521	406.638	8.78885E-31	376.904	137.19	988.649	0.762657	25.459	5.29845	759.048	0	751.622
29.7733	297.643	0.152868	31.2014	5.9999	266.147	6.15836E-10	241.84	248.858	500.803	1.37479	13.4958	7.64454	406.638	1.94302E-31	376.956	138.716	970.947	0.762657	25.2301	5.325	759.048	0	752.187
30.0791	313.997	0.152868	32.0471	6.03851	266.147	2.64693E-10	242.153	251.607	522.261	1.37479	13.7819	7.68386	406.638	4.22779E-32	377.011	140.241	989.96	0.762657	25.4759	5.35154	759.048	0	752.754
30.3848	274.747	0.152868	29.9774	6.07713	266.147	1.12036E-10	242.487	254.357	510.259	1.37479	13.6227	7.72318	406.638	9.05407E-33	377.07	141.766	959.802	0.762657	25.0848	5.37808	759.048	0	753.321
30.6906	284.559	0.152868	30.508	6.11575	266.147	4.66992E-11	242.84	257.106	513.532	1.37479	13.6663	7.76251	406.638	1.90839E-33	377.133	143.292	1010.94	0.762657	25.7444	5.40462	759.048	0	753.889
30.9963	307.455	0.152868	31.7116	6.15437	266.147	1.9169E-11	243.206	259.856	488.074	1.37479	13.3232	7.80183	406.638	3.95897E-34	377.199	144.817	1003.73	0.762657	25.6524	5.43117	759.048	0	754.457
31.302	317.267	0.152868	32.2136	6.19299	266.147	7.74872E-12	243.582	262.606	514.987	1.37479	13.6856	7.84115	406.638	8.08334E-35	377.27	146.342	950.624	0.762657	24.9646	5.45771	759.048	0	755.026
31.6078	310.726	0.152868	31.8798	6.23161	266.147	3.08459E-12	243.966	265.355	498.985	1.37479	13.4713	7.88047	406.638	1.6244E-35	377.345	147.868	984.06	0.762657	25.3998	5.48425	759.048	0	755.596
31.9135	323.809	0.152868	32.544	6.27022	266.147	1.20921E-12	244.353	268.105	515.714	1.37479	13.6953	7.9198	406.638	3.21282E-36	377.423	149.393	985.371	0.762657	25.4168	5.5108	759.048	0	756.167
32.2192	294.372	0.152868	31.0295	6.30884	266.147	4.66817E-13	244.742	270.854	497.166	1.37479	13.4468	7.95912	406.638	6.25422E-37	377.505	150.918	931.611	0.762657	24.7137	5.53734	759.048	0	756.738
32.525	323.809	0.152868	32.544	6.34746	266.147	1.77471E-13	245.129	273.604	497.894	1.37479	13.4566	7.99844	406.638	1.19826E-37	377.592	152.443	972.259	0.762657	25.2471	5.56388	759.048	0	757.31
32.8307	284.559	0.152868	30.508	6.38608	266.147	6.64428E-14	245.513	276.354	515.714	1.37479	13.6953	8.03777	406.638	2.25957E-38	377.682	153.969	1020.12	0.762657	25.861	5.59043	759.048	0	757.882
